date,goal,category,completed,week_label,sheet
2022-11-07,Exercise,daily,0,Week 1,Nov2022
2022-11-08,Exercise,daily,0,Week 1,Nov2022
2022-11-09,Exercise,daily,0,Week 1,Nov2022
2022-11-10,Exercise,daily,0,Week 1,Nov2022
2022-11-11,Exercise,daily,0,Week 1,Nov2022
2022-11-12,Exercise,daily,0,Week 1,Nov2022
2022-11-13,Exercise,daily,0,Week 1,Nov2022
2022-11-14,Exercise,daily,0,Week 2,Nov2022
2022-11-15,Exercise,daily,0,Week 2,Nov2022
2022-11-16,Exercise,daily,1,Week 2,Nov2022
2022-11-17,Exercise,daily,1,Week 2,Nov2022
2022-11-18,Exercise,daily,1,Week 2,Nov2022
2022-11-19,Exercise,daily,1,Week 2,Nov2022
2022-11-20,Exercise,daily,1,Week 2,Nov2022
2022-11-07,Stretch/Yoga (>20min),daily,0,Week 1,Nov2022
2022-11-08,Stretch/Yoga (>20min),daily,0,Week 1,Nov2022
2022-11-09,Stretch/Yoga (>20min),daily,0,Week 1,Nov2022
2022-11-10,Stretch/Yoga (>20min),daily,0,Week 1,Nov2022
2022-11-11,Stretch/Yoga (>20min),daily,0,Week 1,Nov2022
2022-11-12,Stretch/Yoga (>20min),daily,0,Week 1,Nov2022
2022-11-13,Stretch/Yoga (>20min),daily,0,Week 1,Nov2022
2022-11-14,Stretch/Yoga (>20min),daily,0,Week 2,Nov2022
2022-11-15,Stretch/Yoga (>20min),daily,0,Week 2,Nov2022
2022-11-16,Stretch/Yoga (>20min),daily,0,Week 2,Nov2022
2022-11-17,Stretch/Yoga (>20min),daily,1,Week 2,Nov2022
2022-11-18,Stretch/Yoga (>20min),daily,1,Week 2,Nov2022
2022-11-19,Stretch/Yoga (>20min),daily,1,Week 2,Nov2022
2022-11-20,Stretch/Yoga (>20min),daily,1,Week 2,Nov2022
2022-11-07,Social Media (<Limit),daily,1,Week 1,Nov2022
2022-11-08,Social Media (<Limit),daily,1,Week 1,Nov2022
2022-11-09,Social Media (<Limit),daily,1,Week 1,Nov2022
2022-11-10,Social Media (<Limit),daily,1,Week 1,Nov2022
2022-11-11,Social Media (<Limit),daily,1,Week 1,Nov2022
2022-11-12,Social Media (<Limit),daily,0,Week 1,Nov2022
2022-11-13,Social Media (<Limit),daily,1,Week 1,Nov2022
2022-11-14,Social Media (<Limit),daily,1,Week 2,Nov2022
2022-11-15,Social Media (<Limit),daily,1,Week 2,Nov2022
2022-11-16,Social Media (<Limit),daily,1,Week 2,Nov2022
2022-11-17,Social Media (<Limit),daily,1,Week 2,Nov2022
2022-11-18,Social Media (<Limit),daily,1,Week 2,Nov2022
2022-11-19,Social Media (<Limit),daily,1,Week 2,Nov2022
2022-11-20,Social Media (<Limit),daily,1,Week 2,Nov2022
2022-11-07,Eat in,daily,0,Week 1,Nov2022
2022-11-08,Eat in,daily,1,Week 1,Nov2022
2022-11-09,Eat in,daily,1,Week 1,Nov2022
2022-11-10,Eat in,daily,1,Week 1,Nov2022
2022-11-11,Eat in,daily,1,Week 1,Nov2022
2022-11-12,Eat in,daily,1,Week 1,Nov2022
2022-11-13,Eat in,daily,0,Week 1,Nov2022
2022-11-14,Eat in,daily,1,Week 2,Nov2022
2022-11-15,Eat in,daily,1,Week 2,Nov2022
2022-11-16,Eat in,daily,1,Week 2,Nov2022
2022-11-17,Eat in,daily,1,Week 2,Nov2022
2022-11-18,Eat in,daily,1,Week 2,Nov2022
2022-11-19,Eat in,daily,1,Week 2,Nov2022
2022-11-20,Eat in,daily,1,Week 2,Nov2022
2022-11-07,Review Budget/Goals,daily,1,Week 1,Nov2022
2022-11-08,Review Budget/Goals,daily,1,Week 1,Nov2022
2022-11-09,Review Budget/Goals,daily,1,Week 1,Nov2022
2022-11-10,Review Budget/Goals,daily,1,Week 1,Nov2022
2022-11-11,Review Budget/Goals,daily,1,Week 1,Nov2022
2022-11-12,Review Budget/Goals,daily,1,Week 1,Nov2022
2022-11-13,Review Budget/Goals,daily,1,Week 1,Nov2022
2022-11-14,Review Budget/Goals,daily,1,Week 2,Nov2022
2022-11-15,Review Budget/Goals,daily,1,Week 2,Nov2022
2022-11-16,Review Budget/Goals,daily,1,Week 2,Nov2022
2022-11-17,Review Budget/Goals,daily,1,Week 2,Nov2022
2022-11-18,Review Budget/Goals,daily,1,Week 2,Nov2022
2022-11-19,Review Budget/Goals,daily,1,Week 2,Nov2022
2022-11-20,Review Budget/Goals,daily,1,Week 2,Nov2022
2022-11-07,Brush Teeth (>=2),daily,1,Week 1,Nov2022
2022-11-08,Brush Teeth (>=2),daily,1,Week 1,Nov2022
2022-11-09,Brush Teeth (>=2),daily,1,Week 1,Nov2022
2022-11-10,Brush Teeth (>=2),daily,1,Week 1,Nov2022
2022-11-11,Brush Teeth (>=2),daily,1,Week 1,Nov2022
2022-11-12,Brush Teeth (>=2),daily,1,Week 1,Nov2022
2022-11-13,Brush Teeth (>=2),daily,1,Week 1,Nov2022
2022-11-14,Brush Teeth (>=2),daily,1,Week 2,Nov2022
2022-11-15,Brush Teeth (>=2),daily,1,Week 2,Nov2022
2022-11-16,Brush Teeth (>=2),daily,1,Week 2,Nov2022
2022-11-17,Brush Teeth (>=2),daily,1,Week 2,Nov2022
2022-11-18,Brush Teeth (>=2),daily,1,Week 2,Nov2022
2022-11-19,Brush Teeth (>=2),daily,1,Week 2,Nov2022
2022-11-20,Brush Teeth (>=2),daily,1,Week 2,Nov2022
2022-11-07,Water (>2.25),daily,0,Week 1,Nov2022
2022-11-08,Water (>2.25),daily,0,Week 1,Nov2022
2022-11-09,Water (>2.25),daily,0,Week 1,Nov2022
2022-11-10,Water (>2.25),daily,0,Week 1,Nov2022
2022-11-11,Water (>2.25),daily,0,Week 1,Nov2022
2022-11-12,Water (>2.25),daily,0,Week 1,Nov2022
2022-11-13,Water (>2.25),daily,0,Week 1,Nov2022
2022-11-14,Water (>2.25),daily,0,Week 2,Nov2022
2022-11-15,Water (>2.25),daily,0,Week 2,Nov2022
2022-11-16,Water (>2.25),daily,1,Week 2,Nov2022
2022-11-17,Water (>2.25),daily,1,Week 2,Nov2022
2022-11-18,Water (>2.25),daily,1,Week 2,Nov2022
2022-11-19,Water (>2.25),daily,1,Week 2,Nov2022
2022-11-20,Water (>2.25),daily,1,Week 2,Nov2022
2022-11-07,7 hours sleep,daily,1,Week 1,Nov2022
2022-11-08,7 hours sleep,daily,0,Week 1,Nov2022
2022-11-09,7 hours sleep,daily,1,Week 1,Nov2022
2022-11-10,7 hours sleep,daily,1,Week 1,Nov2022
2022-11-11,7 hours sleep,daily,1,Week 1,Nov2022
2022-11-12,7 hours sleep,daily,1,Week 1,Nov2022
2022-11-13,7 hours sleep,daily,0,Week 1,Nov2022
2022-11-14,7 hours sleep,daily,1,Week 2,Nov2022
2022-11-15,7 hours sleep,daily,0,Week 2,Nov2022
2022-11-16,7 hours sleep,daily,1,Week 2,Nov2022
2022-11-17,7 hours sleep,daily,1,Week 2,Nov2022
2022-11-18,7 hours sleep,daily,0,Week 2,Nov2022
2022-11-19,7 hours sleep,daily,1,Week 2,Nov2022
2022-11-20,7 hours sleep,daily,1,Week 2,Nov2022
